Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,4.810000,4.820000,4.680000,4.700000,4.700000,919500
2019-05-21,4.700000,4.820000,4.480000,4.720000,4.720000,1259200
2019-05-22,4.670000,4.710000,4.560000,4.590000,4.590000,538200
2019-05-23,4.490000,4.500000,4.325000,4.380000,4.380000,888500
2019-05-24,4.440000,4.500000,4.350000,4.400000,4.400000,625300
2019-05-28,4.360000,4.420000,3.900000,4.380000,4.380000,1602900
2019-05-29,4.340000,4.550000,4.290000,4.440000,4.440000,1177400
2019-05-30,4.430000,4.470000,4.290000,4.330000,4.330000,880600
2019-05-31,4.240000,4.280000,4.140000,4.170000,4.170000,1438400
2019-06-03,4.160000,4.230000,4.100000,4.170000,4.170000,463100
2019-06-04,4.170000,4.220000,4.110000,4.140000,4.140000,1001200
2019-06-05,4.160000,4.200000,3.900000,3.980000,3.980000,1245700
2019-06-06,3.960000,3.985000,3.890000,3.900000,3.900000,526900
2019-06-07,3.910000,4.000000,3.850000,3.910000,3.910000,628500
2019-06-10,3.940000,4.180000,3.910000,4.070000,4.070000,697300
2019-06-11,4.120000,4.300000,4.051000,4.160000,4.160000,355000
2019-06-12,4.060000,4.140000,4.030000,4.050000,4.050000,297600
2019-06-13,4.120000,4.240000,4.070000,4.210000,4.210000,395500
2019-06-14,4.160000,4.215000,4.040000,4.040000,4.040000,567500
2019-06-17,4.060000,4.230000,4.060000,4.190000,4.190000,272100
2019-06-18,4.230000,4.360000,4.070000,4.100000,4.100000,1000000
2019-06-19,4.120000,4.280000,4.120000,4.210000,4.210000,654100
2019-06-20,4.300000,4.340000,4.210000,4.270000,4.270000,500000
2019-06-21,4.230000,4.250000,4.180000,4.180000,4.180000,1165800
2019-06-24,4.200000,4.290000,4.200000,4.250000,4.250000,248100
2019-06-25,4.170000,4.260000,4.120000,4.160000,4.160000,598300
2019-06-26,4.200000,4.280000,4.180000,4.240000,4.240000,359000
2019-06-27,4.250000,4.270000,4.200000,4.270000,4.270000,922500
2019-06-28,4.090000,4.190000,4.020000,4.100000,4.100000,977900
2019-07-01,4.190000,4.240000,4.090000,4.140000,4.140000,743500
2019-07-02,4.120000,4.200000,4.110000,4.190000,4.190000,456700
2019-07-03,4.130000,4.160000,4.080000,4.140000,4.140000,288100
2019-07-05,4.080000,4.120000,4.050000,4.120000,4.120000,279300
2019-07-08,4.060000,4.130000,3.985000,4.020000,4.020000,468600
2019-07-09,3.980000,4.050000,3.930000,3.950000,3.950000,890500
2019-07-10,4.010000,4.030000,3.910000,3.930000,3.930000,683000
2019-07-11,3.920000,3.970000,3.830000,3.890000,3.890000,499900
2019-07-12,3.880000,3.940000,3.850000,3.870000,3.870000,573000
2019-07-15,3.900000,3.910000,3.800000,3.860000,3.860000,476100
2019-07-16,3.840000,3.980000,3.840000,3.940000,3.940000,484800
2019-07-17,3.900000,3.970000,3.850000,3.880000,3.880000,503000
2019-07-18,3.860000,3.880000,3.780000,3.810000,3.810000,498100
2019-07-19,3.860000,3.900000,3.820000,3.830000,3.830000,585700
2019-07-22,3.830000,3.855000,3.730000,3.780000,3.780000,563900
